Ord,Website,Pis,Visits,Pis/Visit,Clients,Viewtime,Visits Duration
1,aznetz,39747712,8910628,4.46,1466220,70,00:05:13
17,lusonz,15755775,6469582,2.44,1647157,81,00:03:18
18,tagblatt,9464320,3705812,2.55,1202134,75,00:03:11
15,fm1today,7736703,2326939,3.32,472113,70,00:03:53
3,swissmom,5545617,2706443,2.05,1120118,109,00:03:43
16,pilatus,4472694,1457385,3.07,349386,70,00:03:36
19,ojob,2750536,429897,6.40,137682,46,00:04:57
4,wildeis,2746587,1137391,2.41,536127,75,00:03:01
5,telezh,1195818,513176,2.33,276067,108,00:04:11
12,radio24,967329,387811,2.49,101573,99,00:04:06
11,argovia,875316,288331,3.04,74662,94,00:04:47
7,telem1,514308,246384,2.09,157001,93,00:03:13
13,myjob,466947,115733,4.03,73454,52,00:03:28
2,wirelter,431913,227110,1.90,176895,71,00:02:15
8,telebaer,395719,177932,2.22,107628,91,00:03:22
20,zjob,341794,88401,3.87,48106,44,00:02:49
14,virgin,335017,131613,2.55,34690,139,00:05:55
6,tv24,166229,52463,3.17,31115,121,00:06:25
